time_s,time_min,passengers,train_present,passenger_heat_W,train_heat_W,equipment_heat_W,piston_airflow_m3_s,target_ventilation_airflow_m3_s,leakage_airflow_signed_m3_s,total_mass_inflow_kg_s,total_mass_outflow_kg_s,air_density_kg_m3,air_temperature_K,internal_pressure_Pa,pressure_difference_Pa,co2_ppm,ventilation_airflow_m3_s,air_mass_kg,structure_temperature_K,structure_temperature_C,outdoor_temperature_C,outdoor_pressure_Pa,co2_moles,air_temperature_C,air_changes_per_hour,fan_power_proxy_W,cumulative_fan_energy_kWh
0.0,0.0,4.0,False,300.0,0.0,20000.0,0.0,25.0,0.0,29.109952535479017,29.499188069966458,1.1799675227986584,299.15,101325.0,0.0,600.0,25.0,15292.379095470611,298.65,25.5,30.0,101325.0,316.77417926623554,26.0,6.944444444444445,9375.0,0.0
5.0,0.08333333333333333,4.8,False,360.0,0.0,20000.0,0.0,25.0,-0.09370260718885169,29.219059673387743,29.495446219587016,1.1798178487834807,299.1877391194449,101324.9283250727,-0.07167492729786318,598.2996103584675,25.0,15290.43932023391,298.6501802245225,25.500180224522524,30.0,101325.0,315.83637908613576,26.03773911944495,6.944444444444445,9375.0,0.013020833333333334
10.0,0.16666666666666666,5.6,False,420.0,0.0,20000.0,0.0,25.0,0.02863115582388829,29.109952535479017,29.52559160323239,1.1796726484725117,299.2247961453774,101325.00669178028,0.0066917802760144696,596.6160245858342,25.0,15288.557524203752,298.6503666462093,25.50036664620933,30.0,101325.0,314.90887035968285,26.074796145377434,6.944444444444445,9375.0,0.026041666666666668
15.0,0.25,6.4,False,480.0,0.0,20000.0,0.0,25.0,-0.016781851964674372,29.12949329204498,29.48824748330171,1.1795298993320684,299.26098239303633,101324.99770097506,-0.0022990249417489395,594.9493763153928,25.0,15286.707495343608,298.6505591302652,25.50055913026523,30.0,101325.0,313.99117182931656,26.110982393036352,6.944444444444445,9375.0,0.0390625
20.0,0.3333333333333333,7.2,False,540.0,0.0,20000.0,0.0,25.0,-0.03909872385366464,29.155479015302138,29.484756042041926,1.179390241681677,299.2963893509124,101324.987520733,-0.012479266995796934,593.2994562793056,25.0,15284.897532194535,298.65075754432416,25.500757544324188,30.0,101325.0,313.08333431621105,26.146389350912443,6.944444444444445,9375.0,0.052083333333333336
25.0,0.4166666666666667,8.0,False,600.0,0.0,20000.0,0.0,25.0,-0.0866998043921568,29.210905623106658,29.48133244908152,1.1792532979632608,299.331001479433,101324.93863790954,-0.06136209046235308,591.6661607859048,25.0,15283.122741603862,298.6509617590959,25.5009617590959,30.0,101325.0,312.1851931747238,26.181001479433007,6.944444444444445,9375.0,0.06510416666666667
30.0,0.5,8.8,False,660.0,0.0,20000.0,0.0,25.0,-0.10791095383827937,29.235603845250637,29.47798609922394,1.1791194439689576,299.36488206605776,101324.90494062075,-0.09505937925132457,590.0492947039008,25.0,15281.38799383769,298.6511716478738,25.501171647873832,30.0,101325.0,311.2967356641966,26.214882066057783,6.944444444444445,9375.0,0.078125
35.0,0.5833333333333334,9.600000000000001,False,720.0000000000001,0.0,20000.0,0.0,25.0,-0.10007559760457956,29.226480371328176,29.4747219035576,1.178988876142304,299.39807471744757,101324.91824387563,-0.08175612437480595,588.448694966133,25.0,15279.695834804259,298.65138708693524,25.501387086935267,30.0,101325.0,310.41791782794604,26.248074717447594,6.944444444444445,9375.0,0.09114583333333333
40.0,0.6666666666666666,10.4,False,780.0,0.0,20000.0,0.0,25.0,-0.04375220813920391,29.1608975235692,29.471539423664474,1.178861576946579,299.4306005977275,101324.98437342272,-0.015626577282091603,586.8642081416784,25.0,15278.046037227661,298.65160795512065,25.501607955120676,30.0,101325.0,309.5486442209866,26.280600597727528,6.944444444444445,9375.0,0.10416666666666667
45.0,0.75,11.2,False,840.0,0.0,20000.0,0.0,25.0,-0.09065764982624809,29.215514130815823,29.468402010379663,1.1787360804151865,299.4623279796847,101324.93290767778,-0.06709232222056016,585.2958508225216,25.0,15276.419602180818,298.651834134131,25.501834134131002,30.0,101325.0,308.68852998012335,26.31232797968471,6.944444444444445,9375.0,0.1171875
50.0,0.8333333333333334,12.0,False,900.0,0.0,20000.0,0.0,25.0,-0.09856028114478697,29.224715939719346,29.465340402457496,1.1786136160982998,299.49340765186565,101324.9207009876,-0.07929901240277104,583.7433432035484,25.0,15274.832464633966,298.6520655080011,25.502065508001124,30.0,101325.0,307.8377421795647,26.343407651865675,6.944444444444445,9375.0,0.13020833333333334
55.0,0.9166666666666666,12.8,False,960.0,0.0,20000.0,0.0,25.0,-0.06129528290674708,29.181324646521585,29.462357518445554,1.1784943007378221,299.52387328278303,101324.96932970035,-0.030670299645862542,582.2065246945641,25.0,15273.286137562174,298.6523019634343,25.50230196343432,30.0,101325.0,306.99621762721256,26.37387328278305,6.944444444444445,9375.0,0.14322916666666666
60.0,1.0,13.6,False,1020.0,0.0,20000.0,0.0,25.0,-0.11749338769155179,29.246761613036366,29.45941251644491,1.1783765006577964,299.55357363594413,101324.88730860285,-0.1126913971529575,580.685445931204,25.0,15271.759448525041,298.6525433896827,25.502543389682728,30.0,101325.0,306.16354955328603,26.403573635944156,6.944444444444445,9375.0,0.15625
65.0,1.0833333333333333,14.4,False,1080.0,0.0,20000.0,0.0,25.0,-0.09229924164977808,29.217425597218444,29.456556536593727,1.178262261463749,299.5827446217608,101324.9304559183,-0.06954408170713577,579.1797189830388,25.0,15270.278908570186,298.65278967826987,25.50278967826989,30.0,101325.0,305.340057968124,26.432744621760833,6.944444444444445,9375.0,0.16927083333333334
70.0,1.1666666666666667,15.200000000000001,False,1140.0,0.0,20000.0,0.0,25.0,-0.1086342776816487,29.23644608216057,29.453748073377607,1.1781499229351042,299.61123110018735,101324.90366198949,-0.09633801050949842,577.6894051130685,25.0,15268.823001238952,298.65304072328075,25.503040723280776,30.0,101325.0,304.52533648524667,26.461231100187376,6.944444444444445,9375.0,0.18229166666666666
75.0,1.25,16.0,False,1200.0,0.0,20000.0,0.0,25.0,-0.09935041066886506,29.225635965037057,29.451008851288396,1.1780403540515358,299.6391443884748,101324.91942445633,-0.08057554367405828,576.2142525108547,25.0,15267.402988507904,298.6532964210108,25.503296421010816,30.0,101325.0,303.7194702886592,26.489144388474813,6.944444444444445,9375.0,0.1953125
80.0,1.3333333333333333,16.8,False,1260.0,0.0,20000.0,0.0,25.098533878891317,-0.11641669397069343,29.25112459243446,29.454001225691446,1.177932770372286,299.66642231314853,101324.88936451726,-0.11063548273523338,574.7541702066387,25.004823676297335,15266.008704024827,298.65355666998494,25.50355666998496,30.0,101325.0,302.92220198890783,26.516422313148553,6.945784354527038,9380.427682955227,0.20833710255760782
85.0,1.4166666666666667,17.6,False,1320.0,0.0,20000.0,0.0,25.259025598746234,-0.11155411171998027,29.277030100110707,29.483306561950258,1.177827741114802,299.69317093312435,101324.89841371558,-0.10158628442150075,573.3080782716996,25.031934240268964,15264.647524847833,298.6538213725771,25.503821372577136,30.0,101325.0,302.1331024113545,26.543170933124372,6.9533150667413794,9410.971930648997,0.22138668562261074
90.0,1.5,18.4,False,1380.0,0.0,20000.0,0.0,25.416258699764285,-0.11920179177882846,29.34104386945438,29.536464085054035,1.1777245920565216,299.7193764499607,101324.884007615,-0.1159923850063933,571.8746666959021,25.079262405039866,15263.31071305252,298.6540904376002,25.50409043760021,30.0,101325.0,301.35130179328644,26.569376449960714,6.96646177917774,9464.453218249228,0.23449461975379007
95.0,1.5833333333333333,19.200000000000003,False,1440.0000000000002,0.0,20000.0,0.0,25.570925608485595,-0.08636311013821431,29.377300712037915,29.60928032230543,1.1776239492387544,299.7451542680809,101324.9391135772,-0.060886422797921114,570.4527040537431,25.14323892737203,15262.006382134257,298.6543637799462,25.50436377994623,30.0,101325.0,300.5763057038782,26.595154268080933,6.984233035381119,9537.068839191084,0.24769012118256806
100.0,1.6666666666666667,20.0,False,1500.0,0.0,20000.0,0.0,25.722593321323643,-0.08011048897204841,29.46041771922921,29.698202650090106,1.1775247455911546,299.7704322202206,101324.94761069026,-0.052389309741556644,569.0414253687402,25.220873498654733,15260.720702861363,298.65464132014057,25.504641320140593,30.0,101325.0,299.80743308903345,26.620432220220607,7.005798194070759,9625.684480796686,0.2609975887658929
105.0,1.75,20.8,False,1560.0,0.0,20000.0,0.0,25.871523522566918,-0.09144707734496942,29.576998364972745,29.800276231524713,1.1774270673417617,299.7952539204278,101324.93173413914,-0.06826586085662711,567.6401013539839,25.30965786169993,15259.454792749231,298.65492298288615,25.50492298288617,30.0,101325.0,299.04431749695186,26.64525392042782,7.030460517138869,9727.6978695037,0.2744374376202682
110.0,1.8333333333333333,21.6,False,1620.0,0.0,20000.0,0.0,26.017853764324514,-0.11399789961665542,29.71717279385094,29.91302259217224,1.1773308518798424,299.81964229405406,101324.89391411333,-0.10608588666946162,566.2481645925817,25.407490633928568,15258.207840362758,298.65520869685446,25.50520869685448,30.0,101325.0,298.2866399879011,26.669642294054086,7.057636287202381,9840.939748876577,0.2880267692996989
115.0,1.9166666666666667,22.400000000000002,False,1680.0000000000002,0.0,20000.0,0.0,26.16189759144254,-0.12422406673929023,29.851480092917097,30.034371213096698,1.1772363565679351,299.84364959857373,101324.87402760198,-0.12597239801834803,564.865140987129,25.512609295093153,15256.98318112044,298.6554983936836,25.505498393683638,30.0,101325.0,297.53421193852813,26.693649598573757,7.086835915303654,9963.590848484077,0.301779915547866
120.0,2.0,23.2,False,1740.0,0.0,20000.0,0.0,26.30388097227103,-0.1121089819039527,29.966538497972646,30.162587034265268,1.1771437270164686,299.8673134953785,101324.89740062185,-0.10259937815135345,563.4906481509238,25.623538011550973,15255.782702133434,298.65579200794946,25.50579200794948,30.0,101325.0,296.7868643363353,26.717313495378505,7.117649447653048,10094.12170614513,0.3157088825996919
125.0,2.0833333333333335,24.0,False,1800.0,0.0,20000.0,0.0,26.443629794587196,-0.10099701832680623,30.08808959532939,30.296201617075777,1.1770525268763345,299.8906049657645,101324.91673144726,-0.08326855274208356,562.1245287087612,25.739039614039932,15254.600748317294,298.65608947643284,25.506089476432862,30.0,101325.0,296.04440004861607,26.740604965764533,7.149733226122203,10231.239834590131,0.32982371700298024
130.0,2.1666666666666665,24.8,False,1860.0,0.0,20000.0,0.0,26.581151606482422,-0.09859389492552319,30.22390048781558,30.433992215595527,1.1769626184300115,299.91352526774705,101324.92064688884,-0.0793531111557968,560.7666201522147,25.858078871011564,15253.43553485295,298.6563907380996,25.50639073809964,30.0,101325.0,295.30669529605103,26.76352526774707,7.182799686392101,10373.851282335858,0.34413280805640106
135.0,2.25,25.6,False,1920.0,0.0,20000.0,0.0,26.716490437529615,-0.10668934050404429,30.375045444045877,30.57493644253319,1.1768739482548338,299.93608173958825,101324.9070806908,-0.0929193092015339,559.4168314716538,25.979788649304574,15252.286369382648,298.65669573358093,25.506695733580955,30.0,101325.0,294.5736854383307,26.78608173958827,7.216607958140159,10521.025941259039,0.35864313946167525
140.0,2.3333333333333335,26.400000000000002,False,1980.0000000000002,0.0,20000.0,0.0,26.85023513974386,-0.07462591390830375,30.481728826446403,30.71822894422945,1.176787042485884,299.9583725232906,101324.95453855488,-0.04546144511550665,558.0740547312149,26.103473130821737,15251.160070617056,298.6570044102611,25.507004410261118,30.0,101325.0,293.8449152764028,26.808372523290643,7.250964758561594,10672.00784333259,0.3733605240343083
145.0,2.4166666666666665,27.2,False,2040.0,0.0,20000.0,0.0,26.981771474706306,-0.08490107314487234,30.639307580598015,30.863132892212437,1.1767008868565285,299.98029524578436,101324.94115761452,-0.0588423854787834,556.7385589387748,26.228528623498423,15250.04349366061,298.65731671334686,25.50731671334688,30.0,101325.0,293.1202697863038,26.830295245784384,7.285702395416228,10826.12493558907,0.3882897829085594
