time_s,time_min,passengers,train_present,passenger_heat_W,train_heat_W,equipment_heat_W,piston_airflow_m3_s,target_ventilation_airflow_m3_s,leakage_airflow_signed_m3_s,total_mass_inflow_kg_s,total_mass_outflow_kg_s,air_density_kg_m3,air_temperature_K,internal_pressure_Pa,pressure_difference_Pa,co2_ppm,ventilation_airflow_m3_s,air_mass_kg,structure_temperature_K,structure_temperature_C,outdoor_temperature_C,outdoor_pressure_Pa,co2_moles,air_temperature_C,air_changes_per_hour,fan_power_proxy_W,cumulative_fan_energy_kWh
0.0,0.0,4.0,False,300.0,0.0,20000.0,0.0,40.0,0.0,28.63761840379836,29.206295254444697,1.168251810177788,302.15,101325.0,0.0,600.0,25.0,15140.543459904131,301.15,28.0,35.0,101325.0,313.62897808205975,29.0,6.944444444444445,9375.0,0.0
5.0,0.08333333333333333,4.466666666666667,False,335.0,0.0,20000.0,0.0,40.31523969232467,-0.03701599615047542,31.345977877141674,31.919638543345343,1.1680485727855483,302.20253994872076,101324.98881482473,-0.011185175273567438,598.2269134063739,27.32732121509619,15137.909503300707,301.1503167903528,28.000316790352827,35.0,101325.0,312.64775929683196,29.052539948720778,7.590922559748942,12244.538903848357,0.015013568683228024
10.0,0.16666666666666666,4.933333333333334,False,370.0,0.0,20000.0,0.0,40.65233274120192,-0.044572916232399076,33.668815675164645,34.27299019437671,1.1678314043852493,302.25872212353363,101324.9837816746,-0.01621832539967727,596.3267017533198,29.34754971109733,15135.095000832833,301.15064259418125,28.000642594181272,35.0,101325.0,311.59671890992644,29.108722123533653,8.15209714197148,15165.851220991974,0.03404856182547825
15.0,0.25,5.4,False,405.0,0.0,20000.0,0.0,41.00650813092909,-0.0317625656463623,35.67393935567916,36.32506423737642,1.1676034707604008,302.3177513551548,101324.99176440346,-0.008235596542363055,594.3226128955546,31.11078816314219,15132.140981054794,301.1509779468516,28.000977946851606,35.0,101325.0,310.48891658142827,29.16775135515485,8.64188560087283,18066.9270706466,0.0571268800835606
20.0,0.3333333333333333,5.866666666666667,False,440.00000000000006,0.0,20000.0,0.0,41.373913881807994,0.0492630870618055,37.4107903226252,38.18230461325587,1.1673673443474948,302.378985646968,101325.01981103467,0.01981103466823697,592.2335825822298,32.65878275483901,15129.080782743533,301.1513232630448,28.00132326304481,35.0,101325.0,309.33498519396267,29.228985646968,9.071884098566391,20900.23801442186,0.08418741139263593
25.0,0.4166666666666667,6.333333333333334,False,475.00000000000006,0.0,20000.0,0.0,41.75059904909972,-0.08051514769695463,39.06954154817918,39.71294133869627,1.1671241844762021,302.44176650818326,101324.94708008973,-0.05291991027479526,590.0759972829944,34.026320306711135,15125.92943081158,301.15167885749617,28.001678857496188,35.0,101325.0,308.1438379061197,29.291766508183287,9.451755640753094,23637.209701967673,0.11511619452901754
30.0,0.5,6.800000000000001,False,510.00000000000006,0.0,20000.0,0.0,42.13473465247239,-0.07673075928031113,40.4582028673748,41.123524832653324,1.166877229194682,302.5057891087454,101324.95193788229,-0.048062117712106556,587.8634824869464,35.24237495064896,15122.72889036308,301.1520449593079,28.00204495930791,35.0,101325.0,306.92348301392,29.355789108745398,9.789548597402488,26263.146283112754,0.14976921951865674
35.0,0.5833333333333334,7.266666666666667,False,545.0,0.0,20000.0,0.0,42.52332282904604,-0.11159348584830665,41.74528295860583,42.3848415991893,1.1666268440831307,302.570553804841,101324.89834199115,-0.10165800884715281,585.6076119496548,36.33110434082303,15119.483899317373,301.1524217305526,28.002421730552612,35.0,101325.0,305.68008714562654,29.420553804841006,10.091973428006398,28773.126015146463,0.1879888530591145
40.0,0.6666666666666666,7.733333333333333,False,580.0,0.0,20000.0,0.0,42.915077596252786,-0.10905738246060027,42.866718129847236,43.52052430191401,1.1663752016392241,302.6358462660421,101324.90291010066,-0.0970898993400624,583.318002619635,37.312628252684256,15116.222613244345,301.1528092735911,28.00280927359114,35.0,101325.0,304.41926111027885,29.48584626604213,10.36461895907896,31168.706119228555,0.22961512537465273
45.0,0.75,8.2,False,615.0,0.0,20000.0,0.0,43.30810210730351,-0.10648304463855304,43.884514117884436,44.55022592428398,1.1661228520520919,302.70135035121723,101324.9074396833,-0.09256031669792719,581.0029551706045,38.20371571133045,15112.95216259511,301.15320764334416,28.003207643344183,35.0,101325.0,303.14549417299855,29.551350351217252,10.612143253147348,33455.54155564979,0.27449307514887383
50.0,0.8333333333333334,8.666666666666668,False,650.0000000000001,0.0,20000.0,0.0,43.700957813221635,-0.116219324897705,44.82881755801262,45.490324574955125,1.1658704642109814,302.7668263022036,101324.88973933486,-0.11026066514023114,578.6694917552095,39.01833520222276,15109.681216174318,301.15361685364826,28.003616853648282,35.0,101325.0,301.86263343414953,29.616826302203606,10.838426445061877,35641.62172015459,0.3224772163126268
55.0,0.9166666666666666,9.133333333333333,False,685.0,0.0,20000.0,0.0,44.092763924073324,-0.11604285676874261,45.687508790123424,46.35449044241366,1.165619066303525,302.83212732067886,101324.89007392158,-0.10992607842490543,576.3235148869271,39.76812989977554,15106.423099293685,301.1540368854978,28.00403688549784,35.0,101325.0,300.5740287639652,29.682127320678887,11.04670274993765,37736.077621154036,0.37343395196631335
