sample,station_volume_m3,passenger_heat_W_per_person,passenger_co2_L_s_person,train_direct_heat_W,structure_outdoor_UA_W_K,structure_capacitance_J_K,base_airflow_m3_s,maximum_airflow_m3_s,leakage_coefficient,outdoor_temperature_C,scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note
10,0.8086327845910164,96.68978019301704,0.005566754758435509,364857.93733393797,3583.867503852743,988386884.3943865,22.549019049419275,105.00999194990834,0.411677857335344,28.376227439323653,baseline,29.76823681108607,28.17235339484571,25.898456273302656,600.0,460.6929770504226,4.8700481467094505,32.54396778438471,40.63859860405405,22.266642594944983,13.601029080484398,74.08817424947405,3087.5,755.0,0.0,0.0,12212.444255310758,12365.919090991849,7.755885013657352,11.179352635065554,13.959982611818837,126152,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
11,1.1390973922849776,72.84931791164257,0.005035306030828958,357380.4260534216,6691.554496485322,889726209.6766136,20.268312343879714,75.25139105064204,0.16034128785429527,29.005779902006612,baseline,29.714350621838435,28.38670611045129,26.01803843097599,600.0,467.4634651560068,26.002402412341326,31.554847129245097,38.65345473688557,20.53933514121802,10.247470719571055,73.1534853394095,3142.5,1105.0,0.0,0.0,17207.40354169104,17419.509149483878,4.950023532526711,7.6948954260149165,9.425946221075897,11390,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
12,1.0954876167136485,65.86924590080628,0.00582719959105529,314436.72888780106,7547.819771599278,1784161830.777124,21.171859647031585,96.45552529778135,0.17571856716045306,28.649737538902777,baseline,29.277066366236284,28.111849406333246,25.748074976178486,600.0,469.54934849261554,17.128633461426944,30.82583025456947,37.12380455940938,18.841010163487475,9.265607256713416,67.78552319370694,3032.5,480.0,0.0,0.0,16572.02820031083,16752.611929178718,5.3724184500214385,7.816364599315708,9.413313099882158,15146,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
13,1.038295728756275,73.15262020153222,0.0038576883982522014,259470.11403968648,5017.411713371785,1283912061.099568,20.621838180533715,101.05121720628108,0.5358923613113815,33.62961145382065,baseline,32.37074485815117,30.962915576075062,26.187077590515457,600.0,451.4146592437522,0.8851609371195082,47.18480925160751,55.41312317036674,68.69534341656437,10.290135241682199,60.91469633769261,3502.5,3197.5,0.0,0.0,15546.872483159039,15878.011897348886,5.7383996205198935,12.623466605684666,14.824807410532971,40568,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
14,1.0518927045601774,76.95412439659627,0.0038090702378006658,257889.939781869,5020.51847417265,1253903324.2021534,33.142958076985494,66.50637744190199,0.42719411913753236,29.909376842353765,baseline,29.947571999779427,28.916761943204786,25.93012916586656,600.0,448.04314671539726,1.3292235343105858,47.45649232352639,53.34837460438062,66.38013646021119,10.82488016512121,60.71717455546543,3447.5,2107.5,0.0,0.0,15876.556520781673,16085.942005894101,6.601856267601066,12.532037651377383,14.08793204993039,47432,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
15,0.8813498903443534,84.61137493557709,0.003526646592853637,281718.94846772635,3680.6960779039728,812409884.7233934,30.709235700227897,86.09865385099312,0.5478234344818008,31.394570869480148,baseline,31.251274477550965,29.92944864598343,26.307742833142186,600.0,444.001733938204,0.7313859099231195,51.05407125420993,58.373455582989536,83.4670603638668,11.902000074271177,63.69580064119759,3507.5,3027.5,0.0,0.0,13245.472397339236,13477.936638897305,7.8793275185308875,16.090869942653324,18.3977429970716,51566,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
16,1.033098577481534,99.76886848890688,0.0031014748609842144,311391.1557832004,6270.9251309198335,1363567542.0907688,19.695834678811636,109.51320225845893,0.2681543262615718,28.59847527424584,baseline,29.392936038916616,28.149841576765077,25.813962706353323,600.0,460.00048030537937,7.869322886588634,29.590350749297798,36.298676557013074,16.85467490570132,14.034154167439565,67.40482655563184,2987.5,600.0,0.0,0.0,15621.974909175546,15798.535089839037,5.300555617201828,7.956202877408244,9.759926041967313,36956,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
17,0.8955741380669847,67.62058492841186,0.004488999259467555,270989.49078043376,7141.028504857175,1633754619.045908,25.556169004236974,76.14122378409296,0.52590031036212,34.2058642249506,baseline,33.04215231052086,31.590364063629135,26.142352432642383,600.0,445.99463667916916,1.0955637080478482,55.8139481204158,64.10453435141066,110.95584953836068,9.511962279929934,62.35461843028602,3532.5,3352.5,0.0,0.0,13380.463631707842,13695.459227419668,7.754181534801123,17.311659435987043,19.883127862589312,45800,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
18,0.9906100057691475,67.43041630127811,0.00428499576690539,301410.98984577286,3159.296537349731,855980718.4159101,32.62420150223075,73.77825299290342,0.39566538968938325,31.339457558327272,baseline,31.17724944999577,29.892399707706794,26.252613736522903,600.0,446.5813750895161,1.6987489748134976,52.73284434967518,59.87675742782315,91.8011828447755,9.485211893046454,66.15730581345342,3502.5,2997.5,0.0,0.0,14891.202180330003,15148.783743988133,7.0102708472569,14.78686085749855,16.79009148098167,23018,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
19,0.8273070990598304,67.49004360700074,0.004279373722524434,184006.3328015504,5331.873605146692,1834431199.2097428,16.17570223076171,81.72583585800335,0.5728239364611918,34.97294331385497,baseline,33.04399788771309,31.622756293339677,26.05678968757678,600.0,450.20392420166894,1.0798389677947853,46.696816756279006,54.96459722488878,67.22640083038647,9.493599467384772,51.481723682925605,3527.5,3297.5,0.0,0.0,12360.382270283317,12651.493787196983,6.096337848336611,15.678987890465569,18.454989315250693,51920,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
