parameter,level,value,scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note
passenger_co2_L_s_person,0,0.003,baseline,29.933321141268834,28.846839537292244,25.941724891318813,600.0,450.6599261396447,1.9152459409087896,38.964284194544106,45.18539664897292,37.42167157426462,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.95717449336,15292.379095470611,6.944444444444445,10.823412276262252,12.551499069159144,34724,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_co2_L_s_person,1,0.00375,baseline,29.9330772564644,28.84684586050034,25.941725968744493,600.0,452.95949126934283,1.9165604507143144,38.96431007129619,45.184211100468836,37.42194897900224,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.981775209866,15292.379095470611,6.944444444444445,10.823419464248941,12.551169750130232,34994,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_co2_L_s_person,2,0.0045000000000000005,baseline,29.93288624212539,28.846948931994298,25.941737482660585,600.0,455.2574607929881,1.9154062087909551,38.96492635051149,45.18239264954933,37.42374233181957,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.9967663597,15292.379095470611,6.944444444444445,10.823590652919858,12.550664624874813,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_co2_L_s_person,3,0.00525,baseline,29.93298775271353,28.846836232341197,25.941724615289445,600.0,457.55927564389384,1.9164936752640642,38.964249267245776,45.18288272549573,37.421727340474995,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.992190089,15292.379095470611,6.944444444444445,10.823402574234938,12.550800757082147,34952,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
passenger_co2_L_s_person,4,0.006,baseline,29.932996910193367,28.84683193113203,25.94172398621123,600.0,459.85525200994516,1.9153541504201712,38.9642337964345,45.183714547747186,37.421502909539385,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15093.97454730544,15292.379095470611,6.944444444444445,10.823398276787362,12.551031818818664,35078,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
train_direct_heat_W,0,150000.0,baseline,29.556808406370067,28.714749309289587,25.926654445057864,600.0,454.01405614925085,0.4436037769773975,38.17997728881069,43.207286513119776,34.91400665378119,10.55,47.2309320827318,3412.5,1767.5,0.0,0.0,15112.6897867279,15292.379095470611,6.944444444444445,10.60554924689186,12.00202403142216,39164,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
train_direct_heat_W,1,212500.0,baseline,29.77803510172862,28.797940780235468,25.9361461896969,600.0,453.8309293000963,1.1780563718930352,38.67391069465229,44.41604376525836,36.47232003147874,10.55,55.043432082731805,3412.5,1927.5,0.0,0.0,15101.650411026472,15292.379095470611,6.944444444444445,10.74275297073675,12.337789934793987,36554,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
train_direct_heat_W,2,275000.0,baseline,30.04816525731252,28.879154300576943,25.945411735195876,600.0,453.6579805421418,2.5024891259818105,39.15617263920237,45.70897294787424,38.063229523431204,10.55,62.855932082731805,3412.5,2042.5,0.0,0.0,15088.412597473432,15292.379095470611,6.944444444444445,10.876714622000659,12.696936929965068,33212,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
train_direct_heat_W,3,337500.0,baseline,30.333378876376173,28.958649748391156,25.954480489172965,600.0,453.4933324016662,4.289233059331309,39.62831240209334,47.04049642295236,39.68978824384318,10.55,70.66843208273181,3412.5,2122.5,0.0,0.0,15074.361146840574,15292.379095470611,6.944444444444445,11.00786455613704,13.06680456193121,28922,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
train_direct_heat_W,4,400000.0,baseline,30.618462390933928,29.036168533470462,25.96332399251213,600.0,453.33397918219003,6.511259180449997,40.08880670073824,48.3997967864027,41.345074038591605,10.55,78.48093208273181,3412.5,2202.5,0.0,0.0,15060.48384964015,15292.379095470611,6.944444444444445,11.135779639093956,13.444387996222973,26180,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_outdoor_UA_W_K,0,3000.0,baseline,29.927136587786606,28.84150863793051,25.91695179913546,600.0,453.738295917258,1.9123335477052024,38.93281318307257,45.14967395476787,37.32446714876467,10.55,59.730932082731805,3412.5,1982.5,0.0,0.0,15094.24972780395,15292.379095470611,6.944444444444445,10.814670328631271,12.54157609854663,34766,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_outdoor_UA_W_K,1,4250.0,baseline,29.930582072084746,28.844942135516078,25.93246404563115,600.0,453.7303408788621,1.913898870072444,38.9530622065026,45.16888396579372,37.38710946401416,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.107170630723,15292.379095470611,6.944444444444445,10.820295057361832,12.546912212720478,34796,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_outdoor_UA_W_K,2,5500.0,baseline,29.93448168227036,28.848123057915025,25.94788994949471,600.0,453.7230067464934,1.917665914443205,38.97184110442053,45.19174414126947,37.445196642934604,10.55,59.730932082731805,3412.5,2002.5,0.0,0.0,15093.919247475043,15292.379095470611,6.944444444444445,10.82551141789459,12.553262261463741,35078,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_outdoor_UA_W_K,3,6750.0,baseline,29.938347903070564,28.85150612356117,25.96328187676926,600.0,453.7173429434496,1.918938848277321,38.99182769596554,45.2158869359857,37.507150116777396,10.55,59.730932082731805,3412.5,2007.5,0.0,0.0,15093.711334799009,15292.379095470611,6.944444444444445,10.831063248879317,12.55996859332936,35198,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_outdoor_UA_W_K,4,8000.0,baseline,29.94215568570013,28.854734107423063,25.97859936830207,600.0,453.70988509321575,1.9207561174989678,39.01087105393923,45.23791105617054,37.56608288655126,10.55,59.730932082731805,3412.5,2032.5,0.0,0.0,15093.53713002575,15292.379095470611,6.944444444444445,10.836353070538676,12.566086404491816,35270,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_capacitance_J_K,0,800000000.0,baseline,29.98089013120142,28.886601834255245,26.149999753954148,600.0,453.6466168388277,1.9347666698595276,39.198568099319104,45.46831038397946,38.160541358116134,10.55,59.730932082731805,3412.5,2122.5,0.0,0.0,15091.614263833284,15292.379095470611,6.944444444444445,10.888491138699752,12.630086217772071,36626,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_capacitance_J_K,1,1100000000.0,baseline,29.940792147552486,28.854044124709315,25.980186563704365,600.0,453.71184960808034,1.9192447703535436,39.00672127257913,45.23160889655941,37.55458228548896,10.55,59.730932082731805,3412.5,2017.5,0.0,0.0,15093.596771049386,15292.379095470611,6.944444444444445,10.835200353494203,12.564335804599835,35228,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_capacitance_J_K,2,1400000000.0,baseline,29.918982289943642,28.835327675464853,25.880715920798764,600.0,453.74772554283834,1.910131335753249,38.89646986792376,45.099830909247586,37.21020831324377,10.55,59.730932082731805,3412.5,1967.5,0.0,0.0,15094.67563459042,15292.379095470611,6.944444444444445,10.80457496331216,12.52773080812433,34520,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_capacitance_J_K,3,1700000000.0,baseline,29.902654760800147,28.82275863883724,25.815348323097226,600.0,453.7757895790915,1.9041227698908187,38.8224150917205,45.00604798301037,36.980063369084284,10.55,59.730932082731805,3412.5,1932.5,0.0,0.0,15095.479183551402,15292.379095470611,6.944444444444445,10.784004192144582,12.501679995280657,33866,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
structure_capacitance_J_K,4,2000000000.0,baseline,29.89369189865039,28.8141792175919,25.769154618017296,600.0,453.79110993391413,1.8994822671375005,38.77186065642316,44.94913473956476,36.824052677638676,10.55,59.730932082731805,3412.5,1907.5,0.0,0.0,15095.931043451283,15292.379095470611,6.944444444444445,10.76996129345088,12.485870760990212,33560,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
base_airflow_m3_s,0,15.0,baseline,29.818339922654843,28.631955798321236,25.918081264692944,600.0,466.89037953152274,2.3459249526786152,27.773498753665677,34.57677428213509,14.428884120784783,10.55,59.730932082731805,3252.5,1677.5,0.0,0.0,15099.662421979989,15292.379095470611,4.214794751523982,7.714860764907132,9.604659522815304,41960,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
base_airflow_m3_s,1,21.25,baseline,29.893406501119046,28.7760834875902,25.933940997436594,600.0,457.64257461692665,2.0469222983083455,34.82534988411159,41.23321712758171,27.134702280342168,10.55,59.730932082731805,3377.5,1892.5,0.0,0.0,15095.902590278178,15292.379095470611,5.953834169655802,9.67370830114211,11.453671424328254,36812,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
