scenario,maximum_air_temperature_C,mean_air_temperature_C,maximum_structure_temperature_C,maximum_co2_ppm,mean_co2_ppm,maximum_absolute_pressure_difference_Pa,mean_ventilation_airflow_m3_s,maximum_ventilation_airflow_m3_s,total_fan_energy_proxy_kWh,total_passenger_heat_kWh,total_train_heat_kWh,time_above_27_C_s,time_above_29_C_s,time_above_1000_ppm_s,time_above_1200_ppm_s,minimum_air_mass_kg,maximum_air_mass_kg,minimum_air_changes_per_hour,mean_air_changes_per_hour,maximum_air_changes_per_hour,solver_function_evaluations,solver_success,analysis_threshold_note
baseline,29.932633083149142,28.846764829156676,25.94171670611246,600.0,453.72673080299785,1.9158530551212607,38.96382157024345,45.181410963617,37.42030503725619,10.55,59.730932082731805,3412.5,1997.5,0.0,0.0,15094.005023253545,15292.379095470611,6.944444444444445,10.823283769512066,12.550391934338053,34928,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
delayed_train,30.82956284990007,29.33063459610689,25.997075206772138,600.0,452.8607401272795,1.9158530551212607,41.81346016595496,50.586363567812064,47.569426036265355,10.55,109.2934118249165,3412.5,2642.5,0.0,0.0,15049.4949463148,15292.379095470611,6.944444444444445,11.614850046098598,14.051767657725572,24536,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
fixed_ventilation,29.883305603130964,28.851060236946253,25.941882787239933,600.0,452.7848663907321,1.8991323057853151,34.91647385467918,34.99999999999998,25.56561621113898,10.55,59.730932082731805,3462.5,1882.5,0.0,0.0,15096.406199108176,15292.379095470611,6.944444444444445,9.69902051518866,9.722222222222216,34226,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
hot_day,34.37445686184793,33.270130288750785,28.692764287089176,600.0,441.33508161435685,1.684565152565483,65.2541641791607,71.70178922991158,171.77739959417917,10.55,59.730932082731805,3600.0,3597.5,0.0,0.0,14875.951143141985,15140.543459904131,6.944444444444445,18.126156716433528,19.91716367497544,15374,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
minimum_occupancy,28.19352391822281,27.94395375671871,25.838679284948455,600.0,442.6160072282364,0.3915895500977058,33.609531471237474,35.15103071703141,23.099061310702133,0.3,0.0,3412.5,0.0,0.0,0.0,15181.011363771946,15292.379095470611,6.944444444444445,9.335980964232629,9.764175199175392,24446,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
peak_crowding,30.43952445874845,29.38972688361026,26.002989730127354,600.0,456.33721101934964,2.018800919453497,42.18628529186628,47.9893837766067,47.8472627358509,15.425,105.12926828783607,3412.5,2937.5,0.0,0.0,15068.900854718398,15292.379095470611,6.944444444444445,11.718412581073965,13.33038438239075,43268,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
reduced_ventilation,29.818339922654843,28.631955798321236,25.918081264692944,600.0,466.89037953152274,2.3459249526786152,27.773498753665677,34.57677428213509,14.428884120784783,10.55,59.730932082731805,3252.5,1677.5,0.0,0.0,15099.662421979989,15292.379095470611,4.214794751523982,7.714860764907132,9.604659522815304,41960,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
ventilation_failure,29.83879698707034,28.742716164478,25.92959744573426,600.0,459.62092952686083,2.0550510318862507,28.13425104917344,44.68977639671158,17.618123799269952,10.55,59.730932082731805,3412.5,1712.5,0.0,0.0,15098.628449888485,15292.379095470611,5.55555555555556,7.8150697358815115,12.413826776864328,37166,True,"27/29 °C and 1000/1200 ppm are illustrative experiment targets, not universal regulatory limits."
